Metric,Value
design__instance__count,42578
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,8779
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,258
design__max_cap_violation__count__corner:nom_tt_025C_1v80,46
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.269818
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.269818
timing__hold__ws__corner:nom_tt_025C_1v80,0.899482
timing__setup__ws__corner:nom_tt_025C_1v80,1.910046
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,74407
design__max_fanout_violation__count,2322
design__max_cap_violation__count,16294
clock__skew__worst_hold,0.541605
clock__skew__worst_setup,0.541605
timing__hold__ws,-1.14664
timing__setup__ws,-1.628185
timing__hold__tns,-662.5342820000001
timing__setup__tns,-400.511822
timing__hold__wns,-1.14664
timing__setup__wns,-1.628185
timing__hold_vio__count,3214
timing__hold_r2r_vio__count,0
timing__setup_vio__count,944
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 809.6 533.12
design__core__bbox,2.76 2.72 806.84 530.4
dffram__suggested__core_width,804.08
dffram__suggested__core_height,527.68
dffram__logic__density,0.665503
design__io,80
design__die__area,431614
design__core__area,424297
design__instance__area,313902
design__instance__count__stdcell,42578
design__instance__area__stdcell,313902
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.739818
design__instance__utilization__stdcell,0.739818
antenna__violating__nets,210
antenna__violating__pins,336
antenna__count,210
route__net,15671
route__net__special,2
route__drc_errors__iter:1,20696
route__wirelength__iter:1,964437
route__drc_errors__iter:2,12221
route__wirelength__iter:2,960101
route__drc_errors__iter:3,10961
route__wirelength__iter:3,958148
route__drc_errors__iter:4,818
route__wirelength__iter:4,957651
route__drc_errors__iter:5,75
route__wirelength__iter:5,957702
route__drc_errors__iter:6,0
route__wirelength__iter:6,957628
route__drc_errors,0
route__wirelength,957628
route__vias,123715
route__vias__singlecut,123715
route__vias__multicut,0
design__disconnected_pins__count,0
route__wirelength__max,1818.15
design__max_slew_violation__count__corner:nom_ss_100C_1v60,11480
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,258
design__max_cap_violation__count__corner:nom_ss_100C_1v60,5442
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.492799
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.492799
timing__hold__ws__corner:nom_ss_100C_1v60,-0.884289
timing__setup__ws__corner:nom_ss_100C_1v60,-1.061403
timing__hold__tns__corner:nom_ss_100C_1v60,-208.25827
timing__setup__tns__corner:nom_ss_100C_1v60,-126.764099
timing__hold__wns__corner:nom_ss_100C_1v60,-0.884289
timing__setup__wns__corner:nom_ss_100C_1v60,-1.061403
timing__hold_vio__count__corner:nom_ss_100C_1v60,1159
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,311
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,4703
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,258
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.208834
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.208834
timing__hold__ws__corner:nom_ff_n40C_1v95,1.636426
timing__setup__ws__corner:nom_ff_n40C_1v95,2.92716
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,8160
design__max_fanout_violation__count__corner:min_tt_025C_1v80,258
design__max_cap_violation__count__corner:min_tt_025C_1v80,42
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.259758
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.259758
timing__hold__ws__corner:min_tt_025C_1v80,1.070379
timing__setup__ws__corner:min_tt_025C_1v80,2.063856
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,11080
design__max_fanout_violation__count__corner:min_ss_100C_1v60,258
design__max_cap_violation__count__corner:min_ss_100C_1v60,4768
clock__skew__worst_hold__corner:min_ss_100C_1v60,0.488863
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.488863
timing__hold__ws__corner:min_ss_100C_1v60,-0.581446
timing__setup__ws__corner:min_ss_100C_1v60,-0.411768
timing__hold__tns__corner:min_ss_100C_1v60,-41.486217
timing__setup__tns__corner:min_ss_100C_1v60,-49.772152
timing__hold__wns__corner:min_ss_100C_1v60,-0.581446
timing__setup__wns__corner:min_ss_100C_1v60,-0.411768
timing__hold_vio__count__corner:min_ss_100C_1v60,325
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,229
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,3724
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,258
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,0.198121
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.198121
timing__hold__ws__corner:min_ff_n40C_1v95,1.746403
timing__setup__ws__corner:min_ff_n40C_1v95,3.026414
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0.0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,9324
design__max_fanout_violation__count__corner:max_tt_025C_1v80,258
design__max_cap_violation__count__corner:max_tt_025C_1v80,66
clock__skew__worst_hold__corner:max_tt_025C_1v80,0.304029
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.304029
timing__hold__ws__corner:max_tt_025C_1v80,0.754208
timing__setup__ws__corner:max_tt_025C_1v80,1.739687
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0.0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,11752
design__max_fanout_violation__count__corner:max_ss_100C_1v60,258
design__max_cap_violation__count__corner:max_ss_100C_1v60,5922
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.541605
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.541605
timing__hold__ws__corner:max_ss_100C_1v60,-1.14664
timing__setup__ws__corner:max_ss_100C_1v60,-1.628185
timing__hold__tns__corner:max_ss_100C_1v60,-412.789795
timing__setup__tns__corner:max_ss_100C_1v60,-223.975571
timing__hold__wns__corner:max_ss_100C_1v60,-1.14664
timing__setup__wns__corner:max_ss_100C_1v60,-1.628185
timing__hold_vio__count__corner:max_ss_100C_1v60,1730
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,404
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,5405
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,258
design__max_cap_violation__count__corner:max_ff_n40C_1v95,4
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.237529
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.237529
timing__hold__ws__corner:max_ff_n40C_1v95,1.545101
timing__setup__ws__corner:max_ff_n40C_1v95,2.815482
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0.0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
